Expenses by Vendor Summary,
Bandwear.com Inc.,
"January-December, 2024",

Vendor,Total
,"-901,258.06"
1-800-Flowers,107.78
1Password,255.20
8x8 8x8,"4,003.74"
99Designs,540.16
Abandoned Pools-V,"2,266.79"
Acadian Candle Company,"15,238.90"
Admatch Corporation,"2,072.08"
Adobe Systems,"1,363.70"
Advance Auto Parts,151.54
Advertising Specialty Institute,"2,052.93"
Aftership,"1,423.76"
Again Gains,43.30
Alela Diane-V,"4,372.61"
Alex Sampson-V,"3,560.78"
Alpha Shirt Company,"382,361.60"
Amazon.com,"16,570.85"
Amazon Web Services,59.65
Amber Liu-V,"16,099.82"
"AMDA Commercial Cleaning Services, Inc.","3,301.68"
American Express,576.83
AmTrust,"3,024.00"
Andrew Osenga-V,"3,744.49"
Anthropic,53.30
Arlington Printing,883.63
Arlo Technologies,213.19
Arrow Fire Protection Company,300.00
AS Colour Inc,"25,045.78"
Atlassian,"1,060.72"
Atmos Energy,"5,330.55"
Aubrey Logan-V,"6,768.29"
Austin Brown-V,30.33
Authorize.net,317.85
Babe's,253.64
Bags Unlimited,"1,387.34"
BamBams,997.35
Bandwar.com,15.68
Bath Promotions,"1,114.46"
BBVA Bank,22.00
Belpromo,"-2,107.13"
Ben Barnes-V,"1,458.31"
Best Buy,"1,317.08"
Best Promotions USA,"4,919.45"
Better Noise Music (Review)-V,"9,519.44"
Bill Cantos-V,252.55
Bishop Gunn-V,615.02
Black Sabbath-V,168.43
Black & Whyte,"2,891.88"
Blue Cross Blue Shield,"118,495.28"
Blue Mesa Grill,"2,886.92"
Blue October - Argue (Scoop)-V,167.35
Blue October - Box Sets (updown)-V,"182,767.59"
Blue October Fangrab Ticketing-V,"278,489.18"
Blue October - Home (Scoop)-V,128.24
Blue October (Scoop)-V,"149,583.33"
Blue October - STTAP1 (Scoop)-V,"8,591.05"
Blue October - STTAP2 (Scoop)-V,"4,253.50"
Blue October - Sway (Scoop)-V,431.76
Blue October - TIWILF (Scoop)-V,"3,067.67"
Blue October - TWDAN (Scoop)-V,"1,063.58"
Bluestar Textiles,"4,596.79"
"BMS Sales, INC","8,838.61"
Bowling For Soup Fangrab Ticketing-V,"202,379.98"
Bowling For Soup-V,"18,702.25"
Brando Records-V,"2,699.26"
Bre Kennedy-V,306.13
Bruce Dickinson-V,"1,812.43"
Buttonstar,950.51
CAMP Collection,"30,132.09"
Cary Morin-V,106.42
Central Courier Corp,"6,704.75"
Chatbot,500.00
Chick-Fil-A,638.61
City of Carrollton,352.87
CoasterStone,"4,225.91"
Cobb Midway LLC,"165,108.96"
Cobra Cap,"1,397.59"
Codecourse,144.00
Consolidated Ink,909.22
Cori Jade,"7,993.95"
Coyote T-Shirts,"4,790.32"
Crystal Method (Review)-V,965.84
Culligan,875.06
Culture Collective Records-V,39.35
Custom Edge,"1,108.69"
Custom Kings,"2,004.11"
"Custom Printing II, Ltd",292.80
Custom Sock Club,"1,606.20"
Dallas County Tax Office,"6,330.44"
David Houston-V,523.91
Dead Sara-V,"2,437.86"
DHL eCommerce,"297,443.42"
Digital Ocean,"7,490.47"
Dio-V,"1,811.26"
Direct Cap USA,"4,797.34"
DJ Slipmats,"4,746.00"
Dollar Tree,10.83
DoorDash,"1,051.29"
Doosu-V,288.86
Doyle Bramhall II-V,291.17
Dragged Under-V,118.70
Driftwood-V,631.79
Dropbox,"4,017.60"
Duncan Fellows-V,308.22
Earth Angel-V,123.61
Ebay,8.61
EFAX PLUS SERVICE   INTERNET SVC,189.90
EFile Magic,271.98
Eleri Ward-V,265.86
Eliane Elias-V,427.80
Emblem Supply Company,470.62
Emerson Hart-V,52.71
"EMT, INC",814.28
Erykah Badu-V,"98,192.52"
Evernote,546.38
EZCater,198.58
Fastball (Review)-V,317.00
FedEx,"9,566.03"
Fiverr,208.82
Flickerstick - 2021-V,"1,023.66"
Flickerstick-V,37.29
Font Awesome,99.00
Forge Laravel,612.00
Galaxy Balloons Inc,"2,914.08"
Ghost-Note-V,91.50
Github,148.00
GoDaddy.com,175.36
Goldstar Recordings-V,221.81
Great American Cookies,58.98
Gunner Black Co-V,"16,469.08"
Hand Drawn Records,753.12
Harbor Freight,"1,273.92"
HAWK-V,694.44
Heavy Eyes (Review)-V,"1,428.48"
"Hit Promotional Products, INC","26,256.00"
Home Depot,"1,304.15"
Home Free-V,"26,909.91"
Icarus Bell-V,"2,825.55"
IDProductSource,"3,567.32"
Image Imprinting,"226,357.75"
Impericon,"1,002.06"
