Expenses by Vendor Summary,
Bandwear.com Inc.,
"January-December, 2023",

Vendor,Total
,"-2,439,510.01"
1Password,239.40
1st Place Screen Printing,"4,587.57"
5am Donuts,188.69
8x8 8x8,"3,994.07"
Acadian Candle Company,"1,087.94"
Adobe Systems,"1,270.27"
Advertising Specialty Institute,"1,988.77"
Aftership,"2,467.28"
Alela Diane-V,"4,930.12"
All Good Things-V,361.17
Alpha Shirt Company,"443,573.14"
Amazon.com,"12,250.42"
Amber Liu-V,"3,700.77"
"AMDA Commercial Cleaning Services, Inc.","3,247.56"
Ameramark,15.38
American Accents,"1,163.52"
American Express,225.00
AmTrust,"4,011.00"
AntiFragile Music (Review)-V,125.62
Apple,"8,417.51"
Arlo Technologies,538.26
Arrow Fire Protection Company,300.00
Atlas Atlantis Match Company,0.00
Atlassian,"1,247.28"
Atmos Energy,"7,218.25"
Aubrey Logan-V,"6,266.88"
Austin Brown-V,954.98
Authorize.net,352.30
Badu World Market,6.68
Bags Unlimited,430.18
Bandannas Relate,"4,497.47"
Bandcamp,13.43
Bandwear Shop-V,14.98
Beekeeper Spaceman-V,305.27
Belpromo,"3,883.36"
Ben Barnes-V,"7,914.85"
Best Buy,"1,981.19"
Best Promotions USA,"2,485.97"
Best Thai,60.69
Better Noise Music (Review)-V,"31,344.79"
Bishop Gunn-V,"1,065.79"
Blue Cross Blue Shield,"75,294.80"
Blue Mesa Grill,"3,018.81"
Blue October - AMIA (Scoop)-V,126.16
Blue October - Argue (Scoop)-V,629.21
Blue October Fangrab Ticketing-V,"571,852.98"
Blue October - Home (Scoop)-V,397.89
Blue October (Scoop)-V,"177,421.13"
Blue October - STTAP1 (Scoop)-V,"58,746.06"
Blue October - STTAP2 (Scoop)-V,"59,724.84"
Blue October - Sway (Scoop)-V,808.14
Blue October - TIWILF (Scoop)-V,"7,836.40"
Blue October - TWDAN (Scoop)-V,"1,049.18"
Bluestar Textiles,"38,246.14"
"BMS Sales, INC","20,475.52"
BookMasters,"20,993.41"
Bowling For Soup Fangrab Ticketing-V,"79,201.45"
Bowling For Soup-V,"27,559.62"
BrandBox,"1,094.49"
Brando Records-V,"19,433.58"
Braum's,10.87
Bre Kennedy-V,"1,286.42"
Bruce Dickinson-V,396.00
Bruce Molsky-V,375.04
Burger Street,120.64
Buttonstar,"1,045.94"
Cantina Laredo,154.22
Cavo-V,106.78
Central Courier Corp,"9,860.73"
Chatbot,600.00
Chick-Fil-A,107.17
Chips And Salsa,231.48
City of Carrollton,508.51
CleggPromo,"1,762.86"
Cobb Midway LLC,"132,771.47"
Cobra Cap,"1,019.98"
Codecourse,144.00
Consolidated Ink,"8,562.85"
Cori Jade,"2,900.00"
Costco,94.79
Course Of Empire-V,787.75
Courtyard,932.29
Cousin Simple-V,108.30
Crystal Clear,474.79
Crystal Method (Review)-V,716.31
Culligan,939.94
Culture Collective Records-V,110.36
"Custom Printing II, Ltd","3,493.81"
Dallas County Tax Office,"15,151.45"
Datadog,204.72
Dead Sara-V,"2,144.36"
DHL eCommerce,"447,899.51"
DigiCali Promo,652.00
Digital Ocean,"6,960.17"
Dio-V,"30,992.59"
Dixie Seal & Stamp Co Inc,409.05
Dollar Tree,0.54
Domino's,308.20
DoorDash,"1,244.38"
Doosu-V,103.19
Doubletree,638.28
Doyle Bramhall II-V,11.78
Dragged Under-V,"1,379.51"
Driftwood-V,162.46
Dropbox,"3,197.87"
Duncan Fellows-V,403.15
Earth Angel-V,"6,729.49"
EFAX PLUS SERVICE   INTERNET SVC,189.90
EFile Magic,353.15
Eleri Ward-V,794.40
Eliane Elias-V,196.45
"EMT, INC",244.00
Epic Unplugged-V,26.11
Erin Hall (Vendor),435.00
Erykah Badu-V,"181,300.94"
Evernote,331.47
Farmers Insurance,831.78
Fastball (Review)-V,"2,228.72"
FedEx,"1,835.36"
File This,-55.66
FlashingBlinkingLights,357.51
Flickerstick - 2021-V,"24,211.83"
Flickerstick-V,236.50
Font Awesome,99.00
Forge Laravel,612.00
Github,48.00
GoDaddy.com,62.51
Goldstar Recordings-V,"5,632.20"
Gordon Goodwin-V,"1,232.32"
Great American Cookies,53.85
Green Dot Bank,"1,672.75"
GrubHub,61.56
Gunner Black Co-V,"16,944.86"
Hand Drawn Records,486.28
Handling Equipment Corporation,564.06
Harbor Freight,361.25
Harbor Freight Tools,341.98
Harvard of the South-V,"1,029.42"
Heavy Eyes (Review)-V,"1,384.01"
HGR INDUSTRIAL SURPLUS,515.12
Hilton Hotel,249.34
