Expenses by Vendor Summary,
Bandwear.com Inc.,
"January-December, 2025",

Vendor,Total
,"37,332.42"
1Password,259.15
7 Pepper Gunns-V,"64,412.21"
8x8 8x8,"4,057.74"
A-1 Locksmith,714.45
Abandoned Pools-V,670.20
Acadian Candle Company,"4,777.37"
Admatch Corporation,"1,687.36"
Adobe Systems,"1,558.52"
Advertising Specialty Institute,"2,052.93"
Aftership,"1,308.00"
Alela Diane-V,490.65
Alex Sampson-V,139.01
Alpha Shirt Company,"52,030.19"
Amazon.com,-134.70
Amazon Web Services,137.84
Amber Liu-V,"3,412.82"
"AMDA Commercial Cleaning Services, Inc.","3,897.00"
American Express,250.00
AmTrust,"3,008.00"
Andrew Osenga-V,101.93
Arlington Printing,783.54
Arlo Technologies,230.13
Arrow Fire & Safety,300.00
Ascend Staffing,"29,814.85"
AS Colour Inc,"15,593.20"
Atlassian,511.65
Atmos Energy,"8,788.41"
Aubrey Logan-V,"1,266.20"
Authorize.net,477.40
BamBams,445.50
Bandwear Superstore-V,289.61
Banquets Pappasito's Cantina,0.00
Beauty School Dropout-V,"23,703.95"
Belpromo,"1,256.82"
Best Promotions USA,"4,762.62"
Better Noise Music (Review)-V,"50,048.91"
Bic Graphic USA,325.83
Big Bad Voodoo Daddy-V,206.85
Bishop Gunn-V,419.81
Black Sabbath-V,762.12
Blue Cross Blue Shield,"136,325.60"
Blue October - Answers Vinyl (updown)-V,"3,604.28"
Blue October - Argue Vinyl (updown)-V,"5,939.39"
Blue October - Box Sets (updown)-V,"63,158.92"
Blue October - Consent Vinyl (updown)-V,"4,492.92"
Blue October Fangrab Ticketing-V,"425,707.25"
Blue October - History Vinyl (updown)-V,"4,616.76"
Blue October - Home (Scoop)-V,104.10
Blue October - Home (updown)-V,173.72
Blue October (Scoop)-V,"178,610.07"
Blue October - STTAP1 (Scoop)-V,"7,153.04"
Blue October - STTAP1 (updown)-V,"1,165.52"
Blue October - STTAP2 (Scoop)-V,"2,545.70"
Blue October - STTAP2 (updown)-V,541.54
Blue October - Sway (Scoop)-V,"5,625.85"
Blue October - Sway (updown)-V,"20,859.87"
Blue October - TIWILF (Scoop)-V,"3,508.45"
Blue October - TIWILF (updown)-V,497.25
Blue October - TWDAN (Scoop)-V,633.86
Blue October - TWDAN (updown)-V,116.26
Bowling For Soup Fangrab Ticketing-V,"17,715.73"
Bowling For Soup-V,"60,249.43"
Brando Records-V,"30,354.56"
Briana Castanon,486.00
Brighter Promotions,"3,319.74"
Buttonstar,136.07
BWC Supplies,"6,478.19"
Central Courier Corp,"5,709.80"
Chase,195.00
Chick-Fil-A,243.64
City of Carrollton,692.31
CoasterStone,"1,649.88"
Cobb Midway LLC,"172,653.97"
Codecourse,144.00
Consolidated Ink,"2,287.20"
Cori Jade,"14,832.45"
Crystal Method (Review)-V,985.96
Culligan,902.72
Custom Sock Club,"16,212.00"
Dave Rude-V,824.46
Dead Sara-V,593.69
DHL eCommerce,"183,814.11"
DHL Express USA,"4,498.96"
Digital Ocean,"7,947.58"
Dio-V,98.12
Direct Cap USA,811.53
Domino's,44.71
Donut Factory,46.76
DoorDash,143.17
Doosu-V,181.61
Doyle Bramhall II-V,234.28
Dropbox,"3,991.10"
Duncan Fellows-V,877.56
EFAX PLUS SERVICE   INTERNET SVC,189.90
EFile Magic,247.50
Eleri Ward-V,"1,467.82"
"EMT, INC","19,527.43"
Erykah Badu-V,"158,211.42"
Evernote,"2,611.62"
EZCater,291.25
Fastball (Review)-V,659.10
FedEx,"5,264.50"
Fish in a Birdcage-V,"20,086.36"
Fiverr,144.60
Flags Made,"1,246.00"
Flickerstick - 2021-V,260.98
Flickerstick-V,37.93
Font Awesome,99.00
Forge Laravel,612.00
Gemini Comic Supply,"5,067.39"
Github,264.37
GoDaddy.com,226.00
Goldstar Recordings-V,169.56
GOOGLE INC.,18.11
Gordon Goodwin-V,475.98
Great American Cookies,51.75
Gunner Black Co-V,"24,434.02"
Halls of the Machine-V,850.54
Hand Drawn Records,"5,885.04"
Harbor Freight,400.32
Heavy Eyes (Review)-V,"1,092.51"
High End Graphics,100.00
"Hit Promotional Products, INC","24,296.23"
Home Depot,"1,003.50"
Home Free-V,"121,030.57"
Icarus Bell-V,236.80
iClick,"4,494.27"
Ilini,327.03
Image Imprinting,"206,457.86"
Industry PrintShop,"10,244.50"
Instacart,"1,678.95"
Intuit,501.70
"In Tune Guitar Picks, Inc.",377.10
IRS,0.01
Jake Mai-V,299.41
Jamie Lidell-V,117.71
