Invoice List by Date,,,,,,,
Bandwear.com Inc.,,,,,,,
"January-December, 2023",,,,,,,

Date,Transaction type,Num,Name,Memo/Description,Due date,Amount,Open balance
01/03/2023,Invoice,20703,Scoop Merchandise,Blue October Shipping Box Labels,01/05/2023,188.17,0.00
01/05/2023,Invoice,20712,HK Hospitality,Mom's NYC Heart Logo Sweat Shirt REORDER,01/05/2023,"1,329.82",0.00
01/05/2023,Invoice,20713,Bowling For Soup,Bowling For Soup Killin' 'Em WIth Kindness Tee REORDER,01/05/2023,"1,694.26",0.00
01/05/2023,Invoice,20714,One Opportunity Records,Mark Daly and The Ravens Beanie REORDER,01/31/2023,832.64,0.00
01/05/2023,Invoice,20880,Rainmaker Entertainment Group Inc.,,02/04/2023,"2,585.31",0.00
01/10/2023,Invoice,20717,HK Hospitality,Mom's Midtown Roll Sticker REORDER,01/10/2023,472.11,0.00
01/11/2023,Invoice,20718,Lucky Chops,Lucky Chops Logo Beanie,01/11/2023,812.28,0.00
01/11/2023,Invoice,20719,Swin Swinford,Lake Travis HS Legally Blonde Cast and Crew Tees,02/10/2023,"1,241.90",0.00
01/11/2023,Invoice,20720,Gunner Black Co.,Gunner Black Get Back Up Signature Series Tee Reorder,01/11/2023,"1,338.49",0.00
01/11/2023,Invoice,20721,Nothing More,Nothing More Fade In Fade Out Pullover Hoodie REORDER,01/11/2023,"3,350.90",0.00
01/11/2023,Invoice,20722,Nothing More,Nothing More Spirits Scorpion Tie-Dyed Tee REORDER,01/11/2023,"3,422.76",0.00
01/13/2023,Invoice,20723,JJ Lester,,02/12/2023,150.00,0.00
01/16/2023,Invoice,20724,PCI 2 (Publishing Concepts) (deleted):Reynoldsburg High School (deleted),Reynoldsburg High School,02/15/2023,"1,203.99",0.00
01/17/2023,Invoice,20725,HK Hospitality,HK Hospitality Lady Blue Beverage Napkins REORDER,01/17/2023,873.49,0.00
01/18/2023,Invoice,20726,Jackopierce,Jackopierce Shotgun Tee Reorder,01/19/2023,928.66,0.00
01/18/2023,Invoice,20727,Jackopierce,Jackopierce STAR Tee Reorder,01/19/2023,"2,329.28",0.00
01/18/2023,Invoice,20728,Jackopierce,Jackopierce Charlotte Tee,01/19/2023,526.51,0.00
01/18/2023,Invoice,20729,"Ben Barnes - Balanced Management, Inc.",Ben Barnes Songs For You Photo Tee REORDER,01/31/2023,"1,357.91",0.00
01/19/2023,Invoice,20730,Gary Patrick,Gary Patrick This World Koozie,01/20/2023,237.08,0.00
01/19/2023,Invoice,20731,Gary Patrick,Gary Patrick This World Tee,01/20/2023,668.96,0.00
01/19/2023,Invoice,20732,Gary Patrick,Gary Patrick No Standing Waves Tee REORDER,01/20/2023,699.08,0.00
01/19/2023,Invoice,20733,Low Roar,"Low Roar Sweat Shirt, Sweat Pant REORDER",01/20/2023,"5,614.16",0.00
01/23/2023,Invoice,20734,Jackopierce,Jackopierce Star Trucker Hat Larger Logo REORDER,01/24/2023,674.56,0.00
01/23/2023,Invoice,20735,Mark Kafel,,02/22/2023,50.00,0.00
01/24/2023,Invoice,20736,HK Hospitality,HK Hospitality Peachy Keen Pen REORDER,01/24/2023,876.56,0.00
01/24/2023,Invoice,20737,HK Hospitality,HK Hospitality Peachy Keen Roll Stickers REORDER - Peachy Keen Sticker Only,01/24/2023,655.31,0.00
01/26/2023,Invoice,20738,The Sound Club,The Sound Club Alex Winston King Con Hat,01/27/2023,443.83,0.00
01/26/2023,Invoice,20739,PCI 2 (Publishing Concepts) (deleted):Lake Catholic High School (deleted),,01/26/2023,"1,625.61",0.00
01/26/2023,Invoice,20740,PCI 2 (Publishing Concepts) (deleted):Keene High School (deleted),,01/26/2023,"2,957.37",0.00
01/31/2023,Invoice,F20109,URComped,,02/07/2023,"11,360.02",0.00
01/31/2023,Invoice,F20110,Nothing More,,02/07/2023,"4,725.60",0.00
